Sample	MethScore	Quartile	Tertile
TCGA.BH.A0H0.01	-0.024904053	2	2
TCGA.BH.A0HK.01	0.285592744	4	3
TCGA.BH.A0BJ.01	-0.117624458	1	1
TCGA.AO.A0JC.01	-0.068846369	2	1
TCGA.A2.A0CT.01	0.315948863	4	3
TCGA.BH.A0C0.01	0.055994145	3	3
TCGA.BH.A0GY.01	0.047493934	3	3
TCGA.B6.A0IK.01	0.014788743	3	2
TCGA.BH.A0H9.01	-0.137952257	1	1
TCGA.BH.A0BA.01	0.051567979	3	3
TCGA.AO.A0JF.01	-0.068849442	2	1
TCGA.A8.A0AD.01	-0.062844624	2	1
TCGA.BH.A0GZ.01	0.020647947	3	2
TCGA.AO.A03L.01	0.103464863	4	3
TCGA.AO.A0JA.01	0.042235423	3	3
TCGA.BH.A0B8.01	0.214370692	4	3
TCGA.AO.A0JM.01	0.241739039	4	3
TCGA.B6.A0RG.01	-0.044297241	2	2
TCGA.BH.A0AW.01	0.055562254	3	3
TCGA.A2.A0EU.01	-0.047284263	2	2
TCGA.BH.A0H7.01	0.086307376	4	3
TCGA.BH.A0E0.01	-0.149528376	1	1
TCGA.BH.A0B3.01	-0.129140128	1	1
TCGA.BH.A0HX.01	0.06511632	4	3
TCGA.AO.A0JI.01	0.282719335	4	3
TCGA.AO.A0JE.01	0.06699043	4	3
TCGA.AO.A0JD.01	0.056120176	3	3
TCGA.BH.A0HB.01	0.032717582	3	3
TCGA.BH.A0HF.01	-0.101032712	1	1
TCGA.A8.A0A6.01	0.040929152	3	3
TCGA.BH.A0DS.01	0.184318746	4	3
TCGA.AO.A0JJ.01	-0.027934302	2	2
TCGA.B6.A0RI.01	-0.083239732	1	1
TCGA.BH.A0BM.01	-0.070846561	2	1
TCGA.BH.A0H6.01	-0.068221487	2	1
TCGA.BH.A0DP.01	0.032582038	3	3
TCGA.BH.A0E1.01	-0.006415624	3	2
TCGA.AO.A0JL.01	-0.065492871	2	1
TCGA.A8.A08O.01	-0.079742515	1	1
TCGA.A7.A0D9.01	-0.006037263	3	2
TCGA.BH.A0DK.01	0.205795959	4	3
TCGA.B6.A0RL.01	0.297527742	4	3
TCGA.A2.A0SW.01	0.034052859	3	3
TCGA.BH.A0HP.01	0.020929784	3	2
TCGA.BH.A0DQ.01	-0.064069494	2	1
TCGA.B6.A0RN.01	0.1240639	4	3
TCGA.A2.A0T2.01	-0.155479982	1	1
TCGA.A2.A0ST.01	-0.090002438	1	1
TCGA.A1.A0SM.01	0.017040253	3	2
TCGA.BH.A0HI.01	-0.066990155	2	1
TCGA.BH.A0BC.01	-0.080506717	1	1
TCGA.A2.A0SX.01	-0.132198719	1	1
TCGA.AR.A0TV.01	0.159746723	4	3
TCGA.A2.A0T7.01	-0.009649811	3	2
TCGA.A1.A0SE.01	-0.051967231	2	2
TCGA.B6.A0RP.01	0.022398206	3	2
TCGA.A1.A0SK.01	-0.199587637	1	1
TCGA.AR.A0TP.01	-0.119033031	1	1
TCGA.AR.A0TQ.01	0.094045022	4	3
TCGA.A2.A0T1.01	-0.088131963	1	1
TCGA.AO.A0JG.01	0.034645651	3	3
TCGA.A8.A075.01	-0.118303996	1	1
TCGA.B6.A0RO.01	-0.034229875	2	2
TCGA.A2.A0T4.01	0.059080773	3	3
TCGA.B6.A0RU.01	-0.140815919	1	1
TCGA.A1.A0SJ.01	-0.004855184	3	2
TCGA.A2.A0EN.01	0.000291249	3	2
TCGA.A2.A0SY.01	0.106914509	4	3
TCGA.B6.A0RT.01	-0.096101064	1	1
TCGA.A2.A0T0.01	-0.154055812	1	1
TCGA.AR.A0TX.01	-0.073068867	2	1
TCGA.AR.A0TR.01	-0.0411234	2	2
TCGA.B6.A0RV.01	-0.034029077	2	2
TCGA.A1.A0SP.01	-0.043851597	2	2
TCGA.AR.A0TZ.01	0.2126601	4	3
TCGA.AR.A0TT.01	0.025026802	3	2
TCGA.BH.A0RX.01	-0.082455101	1	1
TCGA.A2.A0T6.01	0.1115388	4	3
TCGA.A2.A0SU.01	-0.104026542	1	1
TCGA.A1.A0SO.01	-0.124180938	1	1
TCGA.B6.A0RS.01	-0.055188167	2	2
TCGA.A2.A0SV.01	0.068883451	4	3
TCGA.A1.A0SH.01	-0.072889726	2	1
TCGA.A2.A0T5.01	-0.039545348	2	2
TCGA.BH.A0DH.01	0.202058782	4	3
TCGA.A2.A0YM.01	0.003492932	3	2
TCGA.AR.A0U2.01	0.134050144	4	3
TCGA.A2.A04R.01	0.076964517	4	3
TCGA.B6.A0WX.01	-0.064035174	2	1
TCGA.A2.A0YL.01	-0.08066334	1	1
TCGA.B6.A0X4.01	-0.054309149	2	2
TCGA.BH.A0W3.01	-0.044518949	2	2
TCGA.AN.A0XS.01	-0.0577109	2	2
TCGA.AN.A0XW.01	-0.104288771	1	1
TCGA.AR.A0U3.01	0.125300516	4	3
TCGA.A2.A0YT.01	0.146676691	4	3
TCGA.AN.A0XU.01	-0.149234928	1	1
TCGA.AN.A0XO.01	0.045122515	3	3
TCGA.B6.A0WT.01	-0.014385259	3	2
TCGA.A2.A0YC.01	0.064765252	4	3
TCGA.A2.A0YD.01	-0.039354873	2	2
TCGA.AN.A0XV.01	0.152857497	4	3
TCGA.AN.A0XN.01	0.185429786	4	3
TCGA.B6.A0WY.01	-0.037622491	2	2
TCGA.BH.A0W5.01	-0.059090821	2	2
TCGA.AN.A0XT.01	-0.09819486	1	1
TCGA.A2.A0YH.01	-0.083208797	1	1
TCGA.B6.A0WV.01	0.058187673	3	3
TCGA.B6.A0X5.01	0.083532529	4	3
TCGA.BH.A0W4.01	-0.0968657	1	1
TCGA.A2.A0YG.01	0.150923103	4	3
TCGA.B6.A0WZ.01	-0.032251993	2	2
TCGA.BH.A0WA.01	-0.129973641	1	1
TCGA.A2.A0YF.01	-0.040772138	2	2
TCGA.A2.A0YK.01	-0.000167566	3	2
TCGA.AN.A0XP.01	0.006248703	3	2
TCGA.AN.A0XR.01	0.147796642	4	3
TCGA.AR.A0U4.01	0.044874848	3	3
TCGA.A2.A0YI.01	-0.024398831	2	2
TCGA.AO.A12B.01	-0.045975087	2	2
TCGA.E2.A10F.01	-0.010794526	3	2
TCGA.AO.A128.01	-0.129930017	1	1
TCGA.E2.A10B.01	0.011807036	3	2
TCGA.E2.A10C.01	0.123565954	4	3
TCGA.E2.A10E.01	0.074508583	4	3
TCGA.AO.A12E.01	0.191883208	4	3
TCGA.AO.A124.01	-0.164984144	1	1
TCGA.AO.A126.01	0.056461748	3	3
TCGA.AO.A125.01	0.06225146	4	3
TCGA.AN.A0XL.01	-0.003404759	3	2
TCGA.AO.A129.01	-0.115788356	1	1
TCGA.AO.A12G.01	0.105503629	4	3
TCGA.E2.A109.01	0.265617106	4	3
TCGA.E2.A106.01	0.08809864	4	3
TCGA.AO.A12C.01	0.009714859	3	2
TCGA.E2.A105.01	0.298569574	4	3
TCGA.E2.A108.01	-0.08676657	1	1
TCGA.BH.A0DG.01	0.014220837	3	2
TCGA.A7.A13D.01	-0.114330201	1	1
TCGA.BH.A0B5.01	0.096310823	4	3
TCGA.AR.A1AJ.01	-0.078919903	1	1
TCGA.BH.A0BS.01	-0.048338054	2	2
TCGA.E2.A1B4.01	-0.067401425	2	1
TCGA.BH.A0AZ.01	-0.032259198	2	2
TCGA.E2.A1B5.01	0.014604265	3	2
TCGA.BH.A0BZ.01	0.154824394	4	3
TCGA.E2.A15K.01	-0.014597769	3	2
TCGA.E2.A1B1.01	-0.116438988	1	1
TCGA.A7.A13F.01	0.08453097	4	3
TCGA.AR.A1AP.01	0.117761302	4	3
TCGA.AR.A1AN.01	-0.101801276	1	1
TCGA.AR.A1AO.01	-0.132725207	1	1
TCGA.AR.A1AK.01	-0.039748339	2	2
TCGA.BH.A0DI.01	0.087912873	4	3
TCGA.BH.A0H3.01	-0.006222948	3	2
TCGA.AR.A1AL.01	-0.036968625	2	2
TCGA.AR.A1AW.01	0.056205052	3	3
TCGA.AR.A1AQ.01	-0.026146216	2	2
TCGA.E2.A15J.01	0.014635465	3	2
TCGA.AR.A1AU.01	-0.088042084	1	1
TCGA.E2.A1AZ.01	-0.120578831	1	1
TCGA.BH.A0DD.01	0.127661479	4	3
TCGA.AR.A1AV.01	0.221825514	4	3
TCGA.AR.A1AX.01	-0.085161432	1	1
TCGA.BH.A0DV.01	-0.078910886	1	1
TCGA.BH.A0C3.01	-0.075582576	2	1
TCGA.E2.A1BD.01	0.095614158	4	3
TCGA.BH.A0HA.01	-0.053002865	2	2
TCGA.AR.A1AI.01	-0.10919333	1	1
TCGA.E2.A1BC.01	-0.043982245	2	2
TCGA.AR.A1AS.01	0.074953719	4	3
TCGA.AR.A1AY.01	-0.011936133	3	2
TCGA.BH.A0BF.01	-0.009850347	3	2
TCGA.A7.A13E.01	0.043144051	3	3
TCGA.BH.A0AU.01	-0.039112339	2	2
TCGA.BH.A0BT.01	-0.037348863	2	2
TCGA.E2.A1B0.01	-0.077446788	2	1
TCGA.E2.A14N.01	-0.128632104	1	1
TCGA.C8.A1HN.01	0.107891813	4	3
TCGA.BH.A1ET.01	-0.042425447	2	2
TCGA.C8.A1HL.01	0.039463555	3	3
TCGA.BH.A1EW.01	0.039666624	3	3
TCGA.AR.A1AR.01	-0.001510998	3	2
TCGA.C8.A1HM.01	0.106291269	4	3
TCGA.BH.A1F0.01	-0.11012079	1	1
TCGA.BH.A1ES.01	-0.021226582	3	2
TCGA.C8.A1HI.01	-0.084109634	1	1
TCGA.BH.A1EU.01	-0.062836717	2	1
TCGA.BH.A1EO.01	0.08556466	4	3
TCGA.C8.A1HG.01	-0.09206635	1	1
TCGA.C8.A1HF.01	0.007398458	3	2
TCGA.E2.A15I.01	-0.095463427	1	1
TCGA.BH.A1FC.01	0.020117722	3	2
TCGA.B6.A1KF.01	-0.027229676	2	2
TCGA.EW.A1J3.01	-0.018397018	3	2
TCGA.D8.A1JL.01	-0.142394961	1	1
TCGA.EW.A1J5.01	0.045353898	3	3
TCGA.AQ.A1H2.01	0.063621351	4	3
TCGA.BH.A1FH.01	-0.078868533	1	1
TCGA.BH.A1F8.01	0.094165702	4	3
TCGA.E2.A1L9.01	-0.113692897	1	1
TCGA.A2.A1FW.01	0.171442924	4	3
TCGA.BH.A1F2.01	0.090175756	4	3
TCGA.BH.A1FM.01	0.030442184	3	2
TCGA.A2.A1FV.01	0.277241677	4	3
TCGA.D8.A1JC.01	-0.012309955	3	2
TCGA.BH.A1EN.01	0.231950118	4	3
TCGA.EW.A1IY.01	-0.042587067	2	2
TCGA.BH.A1FN.01	-0.099468843	1	1
TCGA.C8.A1HJ.01	-0.13422725	1	1
TCGA.B6.A1KN.01	0.192249792	4	3
TCGA.AO.A1KQ.01	0.010784637	3	2
TCGA.D8.A1JI.01	0.054859645	3	3
TCGA.AO.A1KO.01	-0.154242997	1	1
TCGA.A2.A1FX.01	0.035686776	3	3
TCGA.D8.A1JB.01	-0.060652945	2	2
TCGA.D8.A1JF.01	0.172157131	4	3
TCGA.BH.A1FR.01	-0.072207801	2	1
TCGA.D8.A1JE.01	-0.049628168	2	2
TCGA.D8.A1J9.01	0.096758382	4	3
TCGA.D8.A1JD.01	-0.013420444	3	2
